"codigo_canton";"nombre_canton";"poblacion_cantonal";"Provincias_codigo_provincia"
0;"MAR TERRITORIAL";0;0
101;"CUENCA";596101;1
102;"GIRON";12182;1
103;"GUALACEO";43188;1
104;"NABON";14776;1
105;"PAUTE";26782;1
106;"PUCARA";9693;1
107;"SAN FERNANDO";3738;1
108;"SANTA ISABEL";20753;1
109;"SIGSIG";24992;1
110;"ONA";3422;1
111;"CHORDELEG";12197;1
112;"EL PAN";2776;1
113;"SEVILLA DE ORO";4613;1
114;"GUACHAPALA";3586;1
115;"CAMILO PONCE ENRIQUEZ";22810;1
201;"GUARANDA";98130;2
202;"CHILLANES";19802;2
203;"CHIMBO";15524;2
204;"ECHEANDIA";14654;2
205;"SAN MIGUEL";28349;2
206;"CALUMA";15607;2
207;"LAS NAVES";7012;2
401;"TULCAN";92375;4
402;"BOLIVAR";41827;4
403;"ESPEJO";14522;4
404;"MIRA";12727;4
405;"MONTUFAR";29590;4
406;"SAN PEDRO DE HUACA";7937;4
501;"LATACUNGA";217261;5
502;"LA MANA";53793;5
503;"PANGUA";21867;5
504;"PUJILI";66980;5
505;"SALCEDO";67493;5
506;"SAQUISILI";24356;5
507;"SIGCHOS";18460;5
601;"RIOBAMBA";260882;6
602;"ALAUSI";37275;6
603;"COLTA";30468;6
604;"CHAMBO";13431;6
605;"CHUNCHI";10635;6
606;"GUAMOTE";35769;6
607;"GUANO";48327;6
608;"PALLATANGA";11796;6
609;"PENIPE";6748;6
610;"CUMANDA";16602;6
701;"MACHALA";306309;7
702;"ARENILLAS";21524;7
703;"ATAHUALPA";6112;7
704;"BALSAS";7875;7
705;"CHILLA";2251;7
706;"EL GUABO";59536;7
707;"HUAQUILLAS";56303;7
708;"MARCABELI";6870;7
709;"PASAJE";83597;7
710;"PINAS";29406;7
711;"PORTOVELO";13556;7
712;"SANTA ROSA";80299;7
713;"ZARUMA";24374;7
714;"LAS LAJAS";5738;7
801;"ESMERALDAS";211848;8
802;"ELOY ALFARO";46305;8
803;"MUISNE";36426;8
804;"QUININDE";126841;8
805;"SAN LORENZO";48391;8
806;"ATACAMES";51204;8
807;"RIOVERDE";32885;8
901;"GUAYAQUIL";2746403;9
902;"ALFREDO BAQUERIZO MORENO";25526;9
903;"BALAO";25655;9
904;"BALZAR";57829;9
905;"COLIMES";26251;9
906;"DAULE";222446;9
