"codigo_parroquia";"nombre_parroquia";"Canton_codigo_canton"
0;"ABANIN  GUANAZAN";713
10150;"CUENCA";101
10151;"BANOS";101
10152;"CUMBE";101
10154;"CHECA (JIDCAY)";101
10155;"CHIQUINTAD";101
10156;"LLACAO";101
10157;"MOLLETURO";101
10158;"NULTI";101
10159;"OCTAVIO CORDERO PALACIOS (STA. ROSA)";101
10160;"PACCHA";101
10161;"QUINGEO";101
10162;"RICAURTE";101
10163;"SAN JOAQUIN";101
10164;"SANTA ANA";101
10165;"SAYAUSI";101
10166;"SIDCAY";101
10167;"SININCAY";101
10168;"TARQUI";101
10169;"TURI";101
10170;"VALLE";101
10171;"VICTORIA DEL PORTETE (IRQUIS)";101
10250;"GIRON";102
10251;"ASUNCION";102
10350;"GUALACEO";103
10353;"JADAN";103
10354;"MARIANO MORENO";103
10356;"REMIGIO CRESPO TORAL (GULAG)";103
10357;"SAN JUAN";103
10358;"ZHIDMAD";103
10359;"LUIS CORDERO VEGA";103
10360;"SIMON BOLIVAR (CAB. EN GANNZOL)";103
10450;"NABON";104
10451;"COCHAPATA";104
10452;"EL PROGRESO (CAB. EN ZHOTA)";104
10453;"LAS NIEVES (CHAYA)";104
10550;"PAUTE";105
10553;"CHICAN (GUILLERMO ORTEGA)";105
10554;"EL CABO";105
10556;"GUARAINAG";105
10559;"SAN CRISTOBAL (CARLOS ORDOÃ‘EZ LAZO)";105
10561;"TOMEBAMBA";105
10562;"DUG DUG";105
10650;"PUCARA";106
10652;"SAN RAFAEL DE SHARUG";106
10750;"SAN FERNANDO";107
10751;"CHUMBLIN";107
10850;"SANTA ISABEL (CHAGUARURCO)";108
10851;"ABDON CALDERON (LA UNION)";108
10854;"SAN SALVADOR DE CANRIBAMBA";108
10950;"SIGSIG";109
10951;"CUCHIL (CUTCHIL)";109
10952;"GIMA";109
10954;"LUDO";109
10955;"SAN BARTOLOME";109
10956;"SAN JOSE DE RARANGA";109
11050;"SAN FELIPE DE ON";110
11051;"SUSUDEL";110
11150;"CHORDELEG";111
11151;"PRINCIPAL";111
11152;"LA UNION";111
11250;"EL PAN";112
11350;"SEVILLA DE ORO";113
11351;"AMALUZA";113
11450;"GUACHAPALA";114
11550;"CAMILO PONCE ENRIQUEZ";115
11551;"EL CARMEN DE PIJILI";115
20150;"GUARANDA";201
20151;"FACUNDO VELA";201
20153;"JULIO E. MORENO (CATANAHUAN GRANDE)";201
20155;"SALINAS";201
20156;"SAN LORENZO";201
20157;"SAN SIMON (YACOTO)";201
20158;"SANTA FE (SANTA FE)";201
20159;"SIMIATUG";201
20160;"SAN LUIS DE PAMBIL";201
20250;"CHILLANES";202
20251;"SAN JOSE DEL TAMBO (TAMBOPAMBA)";202
20350;"SAN JOSE DE CHIMBO";203
20351;"ASUNCION (ASANCOTO)";203
20353;"MAGDALENA (CHAPACOTO)";203
20354;"SAN SEBASTIAN";203
20355;"TELIMBELA";203
20450;"ECHEANDIA";204
20550;"SAN MIGUEL";205
20551;"BALSAPAMBA";205
20552;"BILOVAN";205
20553;"REGULO DE MORA";205
20554;"SAN PABLO (SAN PABLO DE ATENAS)";205
20555;"SANTIAGO";205
20650;"CALUMA";206
20750;"LAS NAVES";207
40150;"TULCAN";401
40151;"EL CARMELO (EL PUN)";401
40153;"JULIO ANDRADE (OREJUELA)";401
40156;"TOBAR DONOSO (LA BOCANA DE CAMUMBI)";401
40157;"TUFI N";401
40158;"URBINA (TAYA)";401
40159;"EL CHICAL";401
40161;"SANTA MARTHA DE CUBA";401
40250;"BOLIVAR";402
40251;"GARCIA MORENO";402
40252;"LOS ANDES";402
40253;"MONTE OLIVO";402
40255;"SAN RAFAEL";402
40350;"EL ANGEL";403
40352;"LA LIBERTAD (ALIZO)";403
40353;"SAN ISIDRO";403
40450;"MIRA (CHONTAHUASI)";404
40451;"CONCEPCION";404
40452;"JIJON Y CAAMA N (CAB. EN RIO BLANCO)";404
40453;"JUAN MONTALVO (SAN IGNACIO DE QUIL)";404
40550;"SAN GABRIEL";405
40551;"CRISTOBAL COLON";405
40552;"CHITAN DE NAVARRETE";405
40553;"FERNANDEZ SALVADOR";405
40554;"LA PAZ";1904
40650;"HUACA";406
40651;"MARISCAL SUCRE";406
50150;"LATACUNGA";501
