"codigo_subzona";"nombre_subzona";"codigo_subcircuito";"codigo_circuito";"codigo_distrito";"nombre_subcircuito";"nombre_circuito";"nombre_distrito";"zonas_nombre_zona"
1;"MAR TERRITORIAL";"0";"0";"0";"MAR TERRITORIAL";"MAR TERRITORIAL";"MAR TERRITORIAL";"ZONA 0"
2;"CANAR";"000C01S01";"000C01";"90D01";"EL PIEDRERO 1";"EL PIEDRERO";"EL PIEDRERO";"ZONA 0"
3;"ESMERALDAS";"08D01C11S02";"08D01C11";"08D01";"GUACHARACA 2";"GUACHARACA";"ESMERALDAS";"ZONA 1"
4;"SUCUMBIOS";"21D02C05S02";"21D02C05";"21D02";"SANTA CECILIA 2";"SANTA CECILIA";"LAGO AGRIO";"ZONA 1"
5;"IMBABURA";"10D02C13S01";"10D02C13";"10D02";"PUERTO LAGO 1";"PUERTO LAGO";"VALLE DEL AMANECER";"ZONA 1"
6;"CARCHI";"04D01C10S01";"04D01C10";"04D01";"JULIO ANDRADE 1";"JULIO ANDRADE";"TULCAN";"ZONA 1"
7;"ESMERALDAS";"08D01C21S02";"08D01C21";"08D01";"SAN MATEO 2";"SAN MATEO";"ESMERALDAS";"ZONA 1"
8;"CARCHI";"04D01C04S01";"04D01C04";"04D01";"ISIDRO AYORA 1";"ISIDRO AYORA";"TULCAN";"ZONA 1"
9;"ESMERALDAS";"08D03C07S01";"08D03C07";"08D03";"LA UNION DE ATACAMES 1";"LA UNION DE ATACAMES";"ATACAMES";"ZONA 1"
10;"IMBABURA";"10D02C05S01";"10D02C05";"10D02";"EL JORDAN 1";"EL JORDAN";"VALLE DEL AMANECER";"ZONA 1"
11;"ESMERALDAS";"08D01C06S02";"08D01C06";"08D01";"BELLAVISTA NORTE 2";"BELLAVISTA NORTE";"ESMERALDAS";"ZONA 1"
12;"CARCHI";"04D03C03S02";"04D03C03";"04D03";"LA CONCEPCION 2";"LA CONCEPCION";"ESPEJO";"ZONA 1"
13;"ESMERALDAS";"08D04C02S01";"08D04C02";"08D04";"ROSA ZARATE 1";"ROSA ZARATE";"QUININDE";"ZONA 1"
14;"ESMERALDAS";"08D06C01S03";"08D06C01";"08D06";"PALESTINA 3";"PALESTINA";"RIO VERDE";"ZONA 1"
15;"ESMERALDAS";"08D01C06S01";"08D01C06";"08D01";"BELLAVISTA NORTE 1";"BELLAVISTA NORTE";"ESMERALDAS";"ZONA 1"
16;"ESMERALDAS";"08D05C04S02";"08D05C04";"08D05";"CARONDELET 2";"CARONDELET";"SAN LORENZO";"ZONA 1"
17;"IMBABURA";"10D01C14S01";"10D01C14";"10D01";"AMBUQUI 1";"AMBUQUI";"CIUDAD BLANCA";"ZONA 1"
18;"IMBABURA";"10D01C20S02";"10D01C20";"10D01";"LAS TERMAS 2";"LAS TERMAS";"CIUDAD BLANCA";"ZONA 1"
19;"CARCHI";"04D02C01S02";"04D02C01";"04D02";"BOLIVAR 2";"BOLIVAR";"MONTUFAR";"ZONA 1"
20;"CARCHI";"04D02C05S01";"04D02C05";"04D02";"SAN GABRIEL SUR 1";"SAN GARBRIEL SUR";"MONTUFAR";"ZONA 1"
21;"ESMERALDAS";"08D01C04S02";"08D01C04";"08D01";"LA TOLITA 2";"LA TOLITA";"ESMERALDAS";"ZONA 1"
22;"ESMERALDAS";"08D03C08S02";"08D03C08";"08D03";"TONCHIGUE 2";"TONCHIGUE";"ATACAMES";"ZONA 1"
23;"IMBABURA";"10D01C03S01";"10D01C03";"10D01";"LOS CEIBOS 1";"LOS CEIBOS";"CIUDAD BLANCA";"ZONA 1"
24;"IMBABURA";"10D01C10S01";"10D01C10";"10D01";"ESTADIO 1";"ESTADIO";"CIUDAD BLANCA";"ZONA 1"
25;"CARCHI";"04D03C03S01";"04D03C03";"04D03";"LA CONCEPCION 1";"LA CONCEPCION";"ESPEJO";"ZONA 1"
26;"IMBABURA";"10D01C20S01";"10D01C20";"10D01";"LAS TERMAS 1";"LAS TERMAS";"CIUDAD BLANCA";"ZONA 1"
27;"ESMERALDAS";"08D01C02S01";"08D01C02";"08D01";"LAS PALMAS 1";"LAS PALMAS";"ESMERALDAS";"ZONA 1"
28;"ESMERALDAS";"08D03C03S01";"08D03C03";"08D03";"CHAMANGA 1";"CHAMANGA";"ATACAMES";"ZONA 1"
29;"CARCHI";"04D01C09S01";"04D01C09";"04D01";"SANTA MARTHA DE CUBA 1";"SANTA MARTHA DE CUBA";"TULCAN";"ZONA 1"
30;"IMBABURA";"10D03C04S01";"10D03C04";"10D03";"LAS TOLAS 1";"LAS TOLAS";"TIERRA DEL SOL";"ZONA 1"
31;"ESMERALDAS";"08D03C01S01";"08D03C01";"08D03";"GALERAS 1";"GALERAS";"ATACAMES";"ZONA 1"
32;"ESMERALDAS";"08D03C05S01";"08D03C05";"08D03";"ATACAMES 1";"ATACAMES";"ATACAMES";"ZONA 1"
33;"IMBABURA";"10D01C06S01";"10D01C06";"10D01";"LA FLORIDA 1";"LA FLORIDA";"CIUDAD BLANCA";"ZONA 1"
34;"IMBABURA";"10D01C01S02";"10D01C01";"10D01";"ARCANGEL 2";"ARCANGEL";"CIUDAD BLANCA";"ZONA 1"
35;"SUCUMBIOS";"21D03C03S01";"21D03C03";"21D03";"PALMA ROJA 1";"PALMA ROJA";"PUTUMAYO";"ZONA 1"
36;"SUCUMBIOS";"21D04C02S02";"21D04C02";"21D04";"SHUSHUFINDI CENTRO 2";"SHUSHUFINDI CENTRO";"SHUSHUFINDI";"ZONA 1"
37;"ESMERALDAS";"08D02C02S03";"08D02C02";"08D02";"ANCHAYACU 3";"ANCHAYACU";"ELOY ALFARO";"ZONA 1"
38;"ESMERALDAS";"08D04C02S02";"08D04C02";"08D04";"ROSA ZARATE 2";"ROSA ZARATE";"QUININDE";"ZONA 1"
39;"IMBABURA";"10D01C06S02";"10D01C06";"10D01";"LA FLORIDA 2";"LA FLORIDA";"CIUDAD BLANCA";"ZONA 1"
40;"ESMERALDAS";"08D05C01S02";"08D05C01";"08D05";"FRONTERA 2";"FRONTERA";"SAN LORENZO";"ZONA 1"
41;"IMBABURA";"10D01C10S02";"10D01C10";"10D01";"ESTADIO 2";"ESTADIO";"CIUDAD BLANCA";"ZONA 1"
42;"ESMERALDAS";"08D04C08S01";"08D04C08";"08D04";"LA UNION 1";"LA UNION";"QUININDE";"ZONA 1"
43;"ESMERALDAS";"08D04C05S01";"08D04C05";"08D04";"PUEBLO NUEVO 1";"PUEBLO NUEVO";"QUININDE";"ZONA 1"
44;"IMBABURA";"10D01C18S01";"10D01C18";"10D01";"GALO PLAZA 1";"GALO PLAZA";"CIUDAD BLANCA";"ZONA 1"
45;"IMBABURA";"10D02C02S01";"10D02C02";"10D02";"TEXTILERO 1";"TEXTILERO";"VALLE DEL AMANECER";"ZONA 1"
46;"IMBABURA";"10D02C07S01";"10D02C07";"10D02";"LA MONTANA 1";"LA MONTANA";"VALLE DEL AMANECER";"ZONA 1"
47;"SUCUMBIOS";"21D04C05S01";"21D04C05";"21D04";"LIMONCOCHA 1";"LIMONCOCHA";"SHUSHUFINDI";"ZONA 1"
48;"IMBABURA";"10D01C13S02";"10D01C13";"10D01";"EL NOGAL 2";"EL NOGAL";"CIUDAD BLANCA";"ZONA 1"
49;"IMBABURA";"10D01C12S02";"10D01C12";"10D01";"LAS TOTORAS 2";"LAS TOTORAS";"CIUDAD BLANCA";"ZONA 1"
50;"CARCHI";"04D01C05S01";"04D01C05";"04D01";"EL PORTAL 1";"EL PORTAL";"TULCAN";"ZONA 1"
51;"IMBABURA";"10D01C12S01";"10D01C12";"10D01";"LAS TOTORAS 1";"LAS TOTORAS";"CIUDAD BLANCA";"ZONA 1"
52;"ESMERALDAS";"08D06C02S01";"08D06C02";"08D06";"MONTALVO 1";"MONTALVO";"RIO VERDE";"ZONA 1"
53;"SUCUMBIOS";"21D02C01S02";"21D02C01";"21D02";"NUEVO SUCUMBIOS 2";"NUEVO SUCUMBIOS";"LAGO AGRIO";"ZONA 1"
54;"ESMERALDAS";"08D01C13S01";"08D01C13";"08D01";"CENTRO 1";"CENTRO";"ESMERALDAS";"ZONA 1"
55;"IMBABURA";"10D02C09S01";"10D02C09";"10D02";"MOJANDA 1";"MOJANDA";"VALLE DEL AMANECER";"ZONA 1"
56;"ESMERALDAS";"08D01C19S01";"08D01C19";"08D01";"TABIAZO 1";"TABIAZO";"ESMERALDAS";"ZONA 1"
57;"ESMERALDAS";"08D03C03S02";"08D03C03";"08D03";"CHAMANGA 2";"CHAMANGA";"ATACAMES";"ZONA 1"
58;"CARCHI";"04D01C01S01";"04D01C01";"04D01";"SAN PEDRO DE HUACA 1";"SAN PEDRO DE HUACA";"TULCAN";"ZONA 1"
59;"SUCUMBIOS";"21D02C01S01";"21D02C01";"21D02";"NUEVO SUCUMBIOS 1";"NUEVO SUCUMBIOS";"LAGO AGRIO";"ZONA 1"
60;"IMBABURA";"10D01C22S01";"10D01C22";"10D01";"BUENOS AIRES 1";"BUENOS AIRES";"CIUDAD BLANCA";"ZONA 1"
61;"IMBABURA";"10D01C13S01";"10D01C13";"10D01";"EL NOGAL 1";"EL NOGAL";"CIUDAD BLANCA";"ZONA 1"
62;"ESMERALDAS";"08D01C08S03";"08D01C08";"08D01";"VALLE HERMOSO 3";"VALLE HERMOSO";"ESMERALDAS";"ZONA 1"
63;"CARCHI";"04D01C01S02";"04D01C01";"04D01";"SAN PEDRO DE HUACA 2";"SAN PEDRO DE HUACA";"TULCAN";"ZONA 1"
64;"CARCHI";"04D02C07S01";"04D02C07";"04D02";"LA PAZ 1";"LA PAZ";"MONTUFAR";"ZONA 1"
65;"SUCUMBIOS";"21D02C07S01";"21D02C07";"21D02";"PACAYACU 1";"PACAYACU";"LAGO AGRIO";"ZONA 1"
66;"ESMERALDAS";"08D01C10S01";"08D01C10";"08D01";"ESMERALDAS LIBRE 1";"ESMERALDAS LIBRE";"ESMERALDAS";"ZONA 1"
67;"CARCHI";"04D03C04S01";"04D03C04";"04D03";"MIRA 1";"MIRA";"ESPEJO";"ZONA 1"
68;"ESMERALDAS";"08D04C10S01";"08D04C10";"08D04";"CUBE 1";"CUBE";"QUININDE";"ZONA 1"
69;"CARCHI";"04D01C10S02";"04D01C10";"04D01";"JULIO ANDRADE 2";"JULIO ANDRADE";"TULCAN";"ZONA 1"
70;"ESMERALDAS";"08D03C06S01";"08D03C06";"08D03";"TONSUPA 1";"TONSUPA";"ATACAMES";"ZONA 1"
71;"ESMERALDAS";"08D05C04S01";"08D05C04";"08D05";"CARONDELET 1";"CARONDELET";"SAN LORENZO";"ZONA 1"
72;"ESMERALDAS";"08D01C14S01";"08D01C14";"08D01";"SANTA VAINAS 1";"SANTA VAINAS";"ESMERALDAS";"ZONA 1"
73;"IMBABURA";"10D03C06S01";"10D03C06";"10D03";"LAS GOLONDRINAS 1";"LAS GOLONDRINAS";"LAS GOLONDRINAS";"ZONA 1"
74;"ESMERALDAS";"08D05C02S02";"08D05C02";"08D05";"URBINA 2";"URBINA";"SAN LORENZO";"ZONA 1"
75;"ESMERALDAS";"08D01C12S01";"08D01C12";"08D01";"SANTA MARTHA 1";"SANTA MARTHA";"ESMERALDAS";"ZONA 1"
76;"CARCHI";"04D01C07S01";"04D01C07";"04D01";"EL MAESTRO 1";"EL MAESTRO";"TULCAN";"ZONA 1"
77;"ESMERALDAS";"08D01C13S02";"08D01C13";"08D01";"CENTRO 2";"CENTRO";"ESMERALDAS";"ZONA 1"
78;"IMBABURA";"10D01C01S01";"10D01C01";"10D01";"ARCANGEL 1";"ARCANGEL";"CIUDAD BLANCA";"ZONA 1"
79;"ESMERALDAS";"08D01C20S02";"08D01C20";"08D01";"CAMARONES 2";"CAMARONES";"ESMERALDAS";"ZONA 1"
80;"IMBABURA";"10D02C04S02";"10D02C04";"10D02";"LOS GUABOS 2";"LOS GUABOS";"VALLE DEL AMANECER";"ZONA 1"
81;"IMBABURA";"10D01C16S01";"10D01C16";"10D01";"SALINAS 1";"SALINAS";"CIUDAD BLANCA";"ZONA 1"
82;"CARCHI";"04D02C04S01";"04D02C04";"04D02";"SAN GABRIEL NORTE 1";"SAN GABRIEL NORTE";"MONTUFAR";"ZONA 1"
83;"IMBABURA";"10D01C05S01";"10D01C05";"10D01";"COMPLEJO DEPORTIVO 1";"COMPLEJO DEPORTIVO";"CIUDAD BLANCA";"ZONA 1"
84;"ESMERALDAS";"08D04C04S01";"08D04C04";"08D04";"LA SEXTA 1";"LA SEXTA";"QUININDE";"ZONA 1"
85;"IMBABURA";"10D02C11S01";"10D02C11";"10D02";"GONZALEZ 1";"GONZALEZ";"VALLE DEL AMANECER";"ZONA 1"
86;"ESMERALDAS";"08D01C20S01";"08D01C20";"08D01";"CAMARONES 1";"CAMARONES";"ESMERALDAS";"ZONA 1"
87;"CARCHI";"04D02C02S01";"04D02C02";"04D02";"SAN RAFAEL 1";"SAN RAFAEL";"MONTUFAR";"ZONA 1"
88;"ESMERALDAS";"08D06C01S01";"08D06C01";"08D06";"PALESTINA 1";"PALESTINA";"RIO VERDE";"ZONA 1"
89;"ESMERALDAS";"08D03C02S01";"08D03C02";"08D03";"MUISNE 1";"MUISNE";"ATACAMES";"ZONA 1"
90;"IMBABURA";"10D02C08S01";"10D02C08";"10D02";"SAN LUIS 1";"SAN LUIS";"VALLE DEL AMANECER";"ZONA 1"
91;"IMBABURA";"10D02C03S01";"10D02C03";"10D02";"SAN ROQUE 1";"SAN ROQUE";"VALLE DEL AMANECER";"ZONA 1"
92;"CARCHI";"04D01C02S01";"04D01C02";"04D01";"OLIMPICO 1";"OLIMPICO";"TULCAN";"ZONA 1"
93;"CARCHI";"04D03C02S01";"04D03C02";"04D03";"EL GOALTAL 1";"EL GOALTAL";"ESPEJO";"ZONA 1"
94;"CARCHI";"04D02C01S01";"04D02C01";"04D02";"BOLIVAR 1";"BOLIVAR";"MONTUFAR";"ZONA 1"
95;"SUCUMBIOS";"21D02C03S01";"21D02C03";"21D02";"PARQUE ECOLOGICO 1";"PARQUE ECOLOGICO";"LAGO AGRIO";"ZONA 1"
96;"ESMERALDAS";"08D02C01S03";"08D02C01";"08D02";"LIMONES 3";"LIMONES";"ELOY ALFARO";"ZONA 1"
97;"ESMERALDAS";"08D02C01S04";"08D02C01";"08D02";"LIMONES 4";"LIMONES";"ELOY ALFARO";"ZONA 1"
98;"ESMERALDAS";"08D02C03S01";"08D02C03";"08D02";"BORBON 1";"BORBON";"ELOY ALFARO";"ZONA 1"
99;"IMBABURA";"10D01C08S02";"10D01C08";"10D01";"LAS RIELES 2";"LAS RIELES";"CIUDAD BLANCA";"ZONA 1"
100;"IMBABURA";"10D02C06S01";"10D02C06";"10D02";"LOS LAGOS 1";"LOS LAGOS";"VALLE DEL AMANECER";"ZONA 1"
101;"IMBABURA";"10D01C07S02";"10D01C07";"10D01";"AMAZONAS 2";"AMAZONAS";"CIUDAD BLANCA";"ZONA 1"
102;"IMBABURA";"10D01C07S01";"10D01C07";"10D01";"AMAZONAS 1";"AMAZONAS";"CIUDAD BLANCA";"ZONA 1"
103;"ESMERALDAS";"08D03C04S02";"08D03C04";"08D03";"MOMPICHE 2";"MOMPICHE";"ATACAMES";"ZONA 1"
104;"SUCUMBIOS";"21D02C08S01";"21D02C08";"21D02";"GENERAL FARFAN 1";"GENERAL FARFAN";"LAGO AGRIO";"ZONA 1"
105;"CARCHI";"04D01C06S01";"04D01C06";"04D01";"PARQUE DEL 8 1";"PARQUE DEL 8";"TULCAN";"ZONA 1"
106;"SUCUMBIOS";"21D04C03S01";"21D04C03";"21D04";"7 DE JULIO 1";"7 DE JULIO";"SHUSHUFINDI";"ZONA 1"
107;"ESMERALDAS";"08D02C01S01";"08D02C01";"08D02";"LIMONES 1";"LIMONES";"ELOY ALFARO";"ZONA 1"
108;"ESMERALDAS";"08D01C05S01";"08D01C05";"08D01";"EL ARENAL 1";"EL ARENAL";"ESMERALDAS";"ZONA 1"
109;"CARCHI";"04D01C03S01";"04D01C03";"04D01";"COMUNEROS 1";"COMUNEROS";"TULCAN";"ZONA 1"
110;"ESMERALDAS";"08D01C08S01";"08D01C08";"08D01";"VALLE HERMOSO 1";"VALLE HERMOSO";"ESMERALDAS";"ZONA 1"
111;"IMBABURA";"10D01C02S02";"10D01C02";"10D01";"CARANQUIS 2";"CARANQUIS";"CIUDAD BLANCA";"ZONA 1"
112;"SUCUMBIOS";"21D02C07S02";"21D02C07";"21D02";"PACAYACU 2";"PACAYACU";"LAGO AGRIO";"ZONA 1"
113;"ESMERALDAS";"08D04C08S02";"08D04C08";"08D04";"LA UNION 2";"LA UNION";"QUININDE";"ZONA 1"
114;"IMBABURA";"10D02C06S02";"10D02C06";"10D02";"LOS LAGOS 2";"LOS LAGOS";"VALLE DEL AMANECER";"ZONA 1"
115;"ESMERALDAS";"08D01C11S01";"08D01C11";"08D01";"GUACHARACA 1";"GUACHARACA";"ESMERALDAS";"ZONA 1"
