tipo_arma,arma
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
ARMAS BLANCAS (OBJETO CORTANTE O PUNZANTE),DESTORNILLADORES
ARMAS BLANCAS (OBJETO CORTANTE O PUNZANTE),TIJERAS
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
ARMAS BLANCAS (OBJETO CORTANTE O PUNZANTE),CUCHILLOS
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
ARMAS DE FUEGO,PISTOLAS
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
ARMAS DE FUEGO,OTROS
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
ARMAS DE FUEGO,REVÓLVER
NINGUNA,NINGUNA
ARMAS DE FUEGO,CARTUCHERA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
ARMAS DE FUEGO,PISTOLAS
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
ARMAS DE FUEGO,
NINGUNA,NINGUNA
ARMAS DE FUEGO,REVÓLVER
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
ARMAS DE FUEGO,
ARMAS DE FUEGO,CARTUCHERA
ARMAS DE FUEGO,OTROS
NINGUNA,NINGUNA
ARMAS DE FUEGO,REVÓLVER
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
ARMAS DE FUEGO,PISTOLA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
ARMAS DE FUEGO,REVÓLVER
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
ARMAS DE FUEGO,REVÓLVER
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
ARMAS BLANCAS (OBJETO CORTANTE O PUNZANTE),CUCHILLOS
ARMAS DE FUEGO,
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
ARMAS DE FUEGO,REVÓLVER
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
NINGUNA,NINGUNA
ARMAS DE FUEGO,REVÓLVER
NINGUNA,NINGUNA
ARMAS BLANCAS (OBJETO CORTANTE O PUNZANTE),CUCHILLOS
NINGUNA,NINGUNA
NINGUNA,NINGUNA
