codigo_canton,nombre_canton
610,CUMANDA
1306,JIPIJAPA
111,CHORDELEG
115,CAMILO PONCE ENRIQUEZ
1114,PINDAL
906,DAULE
1211,VALENCIA
1318,OLMEDO
908,EMPALME
303,CAÑAR
1103,CATAMAYO
207,LAS NAVES
2403,SALINAS
203,CHIMBO
1905,YANTZAZA
1411,PABLO SEXTO
1705,RUMIÐAHUI
1004,OTAVALO
806,ATACAMES
1412,TIWINTZA
1401,MORONA
1410,LOGROÐO
801,ESMERALDAS
2101,LAGO AGRIO
1203,MONTALVO
401,TULCAN
503,PANGUA
501,LATACUNGA
2301,SANTO DOMINGO
805,SAN LORENZO
1406,SUCUA
2003,SANTA CRUZ
913,PALESTINA
705,CHILLA
104,NABON
1405,SANTIAGO
1803,CEVALLOS
109,SIGSIG
201,GUARANDA
1109,PALTAS
1302,BOLIVAR
1313,SANTA ANA
808,LA CONCORDIA
1209,PALENQUE
1108,MACARA
1003,COTACACHI
701,MACHALA
1311,PICHINCHA
2202,AGUARICO
301,AZOGUES
608,PALLATANGA
202,CHILLANES
102,GIRON
711,PORTOVELO
1110,PUYANGO
1806,QUERO
904,BALZAR
1207,VENTANAS
1006,SAN MIGUEL DE URCUQUI
714,LAS LAJAS
406,SAN PEDRO DE HUACA
505,SALCEDO
707,HUAQUILLAS
1801,AMBATO
1312,ROCAFUERTE
1002,ANTONIO ANTE
919,SALITRE
1501,TENA
105,PAUTE
101,CUENCA
702,ARENILLAS
1808,SANTIAGO DE PILLARO
1205,QUEVEDO
706,EL GUABO
921,PLAYAS
1005,PIMAMPIRO
1314,SUCRE
1404,PALORA
1804,MOCHA
1708,PEDRO VICENTE MALDONADO
1113,ZAPOTILLO
1213,QUINSALOMA
1503,ARCHIDONA
925,NOBOL
1317,PEDERNALES
2104,SHUSHUFINDI
1316,24 DE MAYO
2001,SAN CRISTOBAL
1115,QUILANGA
1802,BAÑOS DE AGUA SANTA
922,SIMON BOLIVAR
506,SAQUISILI
205,SAN MIGUEL
916,SAMBORONDON
1507,QUIJOS
204,ECHEANDIA
2103,PUTUMAYO
802,ELOY ALFARO
918,SANTA LUCIA
1322,SAN VICENTE
2402,LA LIBERTAD
1321,JARAMIJO
804,QUININDE
607,GUANO
803,MUISNE
302,BIBLIAN
713,ZARUMA
709,PASAJE
1702,CAYAMBE
1112,SOZORANGA
2107,CUYABENO
1604,ARAJUNO
1307,JUNIN
912,NARANJITO
1105,CHAGUARPAMBA
1206,URDANETA
807,RIOVERDE
1305,FLAVIO ALFARO
907,DURAN
902,ALFREDO BAQUERIZO MORENO
1204,PUEBLOVIEJO
1907,CENTINELA DEL CONDOR
928,ISIDRO AYORA
1202,BABA
924,LOMAS DE SARGENTILLO
909,EL TRIUNFO
1319,PUERTO LOPEZ
2203,LA JOYA DE LOS SACHAS
927,GNRAL. ANTONIO ELIZALDE
712,SANTA ROSA
1107,GONZANAMA
106,PUCARA
114,GUACHAPALA
1212,MOCACHE
304,LA TRONCAL
1902,CHINCHIPE
1308,MANTA
914,PEDRO CARBO
1509,CARLOS JULIO AROSEMENA TOLA
403,ESPEJO
1201,BABAHOYO
1602,MERA
901,GUAYAQUIL
2401,SANTA ELENA
1807,SAN PEDRO DE PELILEO
710,PIÑAS
1210,BUENA FE
601,RIOBAMBA
1402,GUALAQUIZA
1102,CALVAS
1208,VINCES
1901,ZAMORA
504,PUJILI
609,PENIPE
920,SAN JACINTO DE YAGUACHI
405,MONTUFAR
1304,EL CARMEN
2201,ORELLANA
1111,SARAGURO
1704,PEDRO MONCAYO
903,BALAO
1101,LOJA
1707,SAN MIGUEL DE LOS BANCOS
1303,CHONE
1001,IBARRA
1409,TAISHA
606,GUAMOTE
910,MILAGRO
502,LA MANA
911,NARANJAL
1906,EL PANGUI
2106,CASCALES
1310,PAJAN
2102,GONZALO PIZARRO
1709,PUERTO QUITO
1301,PORTOVIEJO
1309,MONTECRISTI
1407,HUAMBOYA
0,MAR TERRITORIAL
1703,MEJIA
1601,PASTAZA
1504,EL CHACO
604,CHAMBO
1315,TOSAGUA
108,SANTA ISABEL
206,CALUMA
2204,LORETO
923,CRNEL. MARCELINO MARIDUEÑA
703,ATAHUALPA
2002,ISABELA
602,ALAUSI
103,GUALACEO
1909,PAQUISHA
1403,LIMON INDANZA
1701,QUITO
1320,JAMA
