id_persona,nacionalidad,autoidentificacion_etnica,estatus_migratorio,numero_detenciones,estado_civil,nivel_de_instruccion,genero,edad,sexo,Sexo
1,ECUATORIANA,,,,,,,,16,HOMBRE
2,ECUATORIANA,,,,,,,,17,HOMBRE
3,ECUATORIANA,,,,,,,,26,HOMBRE
4,ECUATORIANA,,,,,,,,28,HOMBRE
5,ECUATORIANA,,,,,,,,24,HOMBRE
6,ECUATORIANA,,,,,,,,19,HOMBRE
7,ECUATORIANA,,,,,,,,27,HOMBRE
8,ECUATORIANA,,,,,,,,36,HOMBRE
9,ECUATORIANA,,,,,,,,38,HOMBRE
10,ECUATORIANA,,,,,,,,23,HOMBRE
11,ECUATORIANA,,,,,,,,21,HOMBRE
12,ECUATORIANA,,,,,,,,29,HOMBRE
13,ECUATORIANA,,,,,,,,34,HOMBRE
14,ECUATORIANA,,,,,,,,35,HOMBRE
15,ECUATORIANA,,,,,,,,31,HOMBRE
16,ECUATORIANA,,,,,,,,25,HOMBRE
17,ECUATORIANA,,,,,,,,41,HOMBRE
18,ECUATORIANA,,,,,,,,21,HOMBRE
19,ECUATORIANA,,,,,,,,42,HOMBRE
20,ECUATORIANA,,,,,,,,27,HOMBRE
21,ECUATORIANA,,,,,,,,34,HOMBRE
22,ECUATORIANA,,,,,,,,29,HOMBRE
23,ECUATORIANA,,,,,,,,36,HOMBRE
24,ECUATORIANA,,,,,,,,23,HOMBRE
25,ECUATORIANA,,,,,,,,52,HOMBRE
26,ECUATORIANA,,,,,,,,41,HOMBRE
27,ECUATORIANA,,,,,,,,17,HOMBRE
28,ECUATORIANA,,,,,,,,27,HOMBRE
29,ECUATORIANA,,,,,,,,20,MUJER
30,ECUATORIANA,,,,,,,,20,HOMBRE
31,ECUATORIANA,,,,,,,,45,HOMBRE
32,ECUATORIANA,,,,,,,,26,HOMBRE
33,ECUATORIANA,,,,,,,,24,HOMBRE
34,ECUATORIANA,,,,,,,,34,HOMBRE
35,ECUATORIANA,,,,,,,,34,HOMBRE
36,ECUATORIANA,,,,,,,,22,HOMBRE
37,ECUATORIANA,,,,,,,,33,HOMBRE
38,ECUATORIANA,,,,,,,,23,HOMBRE
39,ECUATORIANA,,,,,,,,22,HOMBRE
40,ECUATORIANA,,,,,,,,42,HOMBRE
41,ECUATORIANA,,,,,,,,62,HOMBRE
42,ECUATORIANA,,,,,,,,30,HOMBRE
43,ECUATORIANA,,,,,,,,26,HOMBRE
44,ECUATORIANA,,,,,,,,23,HOMBRE
45,ECUATORIANA,,,,,,,,20,HOMBRE
46,ECUATORIANA,,,,,,,,22,HOMBRE
47,ECUATORIANA,,,,,,,,38,HOMBRE
48,ECUATORIANA,,,,,,,,21,HOMBRE
49,ECUATORIANA,,,,,,,,38,HOMBRE
50,ECUATORIANA,,,,,,,,15,HOMBRE
51,ECUATORIANA,,,,,,,,20,HOMBRE
52,ECUATORIANA,,,,,,,,26,HOMBRE
53,ECUATORIANA,,,,,,,,43,HOMBRE
54,ECUATORIANA,,,,,,,,27,HOMBRE
55,ECUATORIANA,,,,,,,,35,HOMBRE
56,ECUATORIANA,,,,,,,,24,HOMBRE
57,ECUATORIANA,,,,,,,,24,HOMBRE
58,ECUATORIANA,,,,,,,,25,HOMBRE
59,ECUATORIANA,,,,,,,,43,HOMBRE
60,ECUATORIANA,,,,,,,,26,HOMBRE
61,ECUATORIANA,,,,,,,,21,HOMBRE
62,ECUATORIANA,,,,,,,,38,HOMBRE
63,ECUATORIANA,,,,,,,,25,HOMBRE
64,ECUATORIANA,,,,,,,,20,HOMBRE
65,ECUATORIANA,,,,,,,,16,MUJER
66,ECUATORIANA,,,,,,,,56,HOMBRE
67,ECUATORIANA,,,,,,,,34,HOMBRE
68,ECUATORIANA,,,,,,,,44,HOMBRE
69,ECUATORIANA,,,,,,,,36,HOMBRE
70,ECUATORIANA,,,,,,,,33,HOMBRE
71,ECUATORIANA,,,,,,,,,HOMBRE
72,ECUATORIANA,,,,,,,,33,HOMBRE
73,ECUATORIANA,,,,,,,,19,HOMBRE
74,ECUATORIANA,,,,,,,,16,MUJER
75,ECUATORIANA,,,,,,,,30,HOMBRE
76,ECUATORIANA,,,,,,,,39,HOMBRE
77,ECUATORIANA,,,,,,,,21,HOMBRE
78,ECUATORIANA,,,,,,,,50,HOMBRE
79,ECUATORIANA,,,,,,,,35,HOMBRE
80,ECUATORIANA,,,,,,,,29,HOMBRE
81,ECUATORIANA,,,,,,,,40,HOMBRE
82,COLOMBIANA,,,,,,,,,HOMBRE
83,ECUATORIANA,,,,,,,,,HOMBRE
84,ECUATORIANA,,,,,,,,,HOMBRE
85,ECUATORIANA,,,,,,,,41,HOMBRE
86,ECUATORIANA,,,,,,,,33,HOMBRE
87,ECUATORIANA,,,,,,,,27,HOMBRE
88,ECUATORIANA,,,,,,,,26,HOMBRE
89,ECUATORIANA,,,,,,,,,HOMBRE
90,ECUATORIANA,,,,,,,,31,HOMBRE
91,ECUATORIANA,,,,,,,,54,HOMBRE
92,ECUATORIANA,,,,,,,,26,HOMBRE
93,ECUATORIANA,,,,,,,,21,HOMBRE
94,ECUATORIANA,,,,,,,,29,HOMBRE
95,ECUATORIANA,,,,,,,,25,HOMBRE
96,ECUATORIANA,,,,,,,,31,HOMBRE
97,ECUATORIANA,,,,,,,,28,MUJER
98,ECUATORIANA,,,,,,,,35,HOMBRE
99,ECUATORIANA,,,,,,,,28,HOMBRE
100,ECUATORIANA,,,,,,,,49,HOMBRE
101,ECUATORIANA,,,,,,,,29,HOMBRE
102,ECUATORIANA,,,,,,,,28,HOMBRE
103,ECUATORIANA,,,,,,,,18,MUJER
104,ECUATORIANA,,,,,,,,22,HOMBRE
105,ECUATORIANA,,,,,,,,48,HOMBRE
106,ECUATORIANA,,,,,,,,40,HOMBRE
107,ECUATORIANA,,,,,,,,31,HOMBRE
108,ECUATORIANA,,,,,,,,24,HOMBRE
109,ECUATORIANA,,,,,,,,37,HOMBRE
110,ECUATORIANA,,,,,,,,25,MUJER
111,ECUATORIANA,,,,,,,,25,HOMBRE
112,COLOMBIANA,,,,,,,,,HOMBRE
113,ECUATORIANA,,,,,,,,21,HOMBRE
114,ECUATORIANA,,,,,,,,36,HOMBRE
115,ECUATORIANA,,,,,,,,29,HOMBRE
116,ECUATORIANA,,,,,,,,29,HOMBRE
117,ECUATORIANA,,,,,,,,28,HOMBRE
118,ECUATORIANA,,,,,,,,36,HOMBRE
119,ECUATORIANA,,,,,,,,19,HOMBRE
120,ECUATORIANA,,,,,,,,43,HOMBRE
121,ECUATORIANA,,,,,,,,37,HOMBRE
122,ECUATORIANA,,,,,,,,25,HOMBRE
123,ECUATORIANA,,,,,,,,33,HOMBRE
124,ECUATORIANA,,,,,,,,26,HOMBRE
125,ECUATORIANA,,,,,,,,35,HOMBRE
126,ECUATORIANA,,,,,,,,19,HOMBRE
127,ECUATORIANA,,,,,,,,30,HOMBRE
128,ECUATORIANA,,,,,,,,26,HOMBRE
129,ECUATORIANA,,,,,,,,20,HOMBRE
130,ECUATORIANA,,,,,,,,37,HOMBRE
131,ECUATORIANA,,,,,,,,31,HOMBRE
132,ECUATORIANA,,,,,,,,34,HOMBRE
133,ECUATORIANA,,,,,,,,21,HOMBRE
134,ECUATORIANA,,,,,,,,26,HOMBRE
135,ECUATORIANA,,,,,,,,33,HOMBRE
136,ECUATORIANA,,,,,,,,40,HOMBRE
137,COLOMBIANA,,,,,,,,,HOMBRE
138,ECUATORIANA,,,,,,,,16,HOMBRE
139,ECUATORIANA,,,,,,,,54,HOMBRE
140,ECUATORIANA,,,,,,,,64,HOMBRE
141,ECUATORIANA,,,,,,,,38,HOMBRE
142,ECUATORIANA,,,,,,,,36,HOMBRE
143,ECUATORIANA,,,,,,,,17,HOMBRE
144,ECUATORIANA,,,,,,,,29,HOMBRE
145,ECUATORIANA,,,,,,,,22,HOMBRE
146,ECUATORIANA,,,,,,,,24,HOMBRE
147,ECUATORIANA,,,,,,,,28,HOMBRE
148,ECUATORIANA,,,,,,,,36,HOMBRE
149,ECUATORIANA,,,,,,,,29,HOMBRE
150,ECUATORIANA,,,,,,,,43,HOMBRE
151,ECUATORIANA,,,,,,,,23,HOMBRE
152,ECUATORIANA,,,,,,,,25,HOMBRE
153,ECUATORIANA,,,,,,,,21,HOMBRE
154,ECUATORIANA,,,,,,,,69,HOMBRE
155,ECUATORIANA,,,,,,,,32,HOMBRE
156,ECUATORIANA,,,,,,,,44,HOMBRE
157,ECUATORIANA,,,,,,,,48,HOMBRE
158,ECUATORIANA,,,,,,,,19,HOMBRE
159,ECUATORIANA,,,,,,,,,HOMBRE
160,ECUATORIANA,,,,,,,,35,HOMBRE
161,ECUATORIANA,,,,,,,,26,HOMBRE
162,ECUATORIANA,,,,,,,,71,HOMBRE
163,ECUATORIANA,,,,,,,,27,HOMBRE
164,ECUATORIANA,,,,,,,,38,HOMBRE
165,ECUATORIANA,,,,,,,,40,HOMBRE
166,ECUATORIANA,,,,,,,,38,HOMBRE
167,ECUATORIANA,,,,,,,,36,HOMBRE
168,ECUATORIANA,,,,,,,,28,HOMBRE
169,ECUATORIANA,,,,,,,,57,HOMBRE
170,ECUATORIANA,,,,,,,,19,HOMBRE
171,ECUATORIANA,,,,,,,,36,HOMBRE
172,ECUATORIANA,,,,,,,,45,HOMBRE
173,ECUATORIANA,,,,,,,,46,HOMBRE
174,ECUATORIANA,,,,,,,,23,HOMBRE
175,ECUATORIANA,,,,,,,,29,HOMBRE
176,ECUATORIANA,,,,,,,,24,HOMBRE
177,ECUATORIANA,,,,,,,,42,HOMBRE
