id_persona,nacionalidad,autoidentificacion_etnica,estatus_migratorio,numero_detenciones,estado_civil,nivel_de_instruccion,genero,edad,sexo
1,ECUADOR,,,,,,,41,HOMBRE
2,COLOMBIA,,,,,,,,HOMBRE
3,ECUADOR,,,,,,,24,HOMBRE
4,ECUADOR,,,,,,,33,HOMBRE
5,ECUADOR,,,,,,,37,HOMBRE
6,ECUADOR,,,,,,,30,HOMBRE
7,,,,,,,,,HOMBRE
8,ECUADOR,,,,,,,27,HOMBRE
9,ECUADOR,,,,,,,33,HOMBRE
10,ECUADOR,,,,,,,50,HOMBRE
11,ECUADOR,,,,,,,20,HOMBRE
12,ECUADOR,,,,,,,29,HOMBRE
13,ECUADOR,,,,,,,22,HOMBRE
14,ECUADOR,,,,,,,27,HOMBRE
15,ECUADOR,,,,,,,29,HOMBRE
16,BRASIL,,,,,,,,HOMBRE
17,ECUADOR,,,,,,,31,HOMBRE
18,ECUADOR,,,,,,,27,HOMBRE
19,ECUADOR,,,,,,,19,MUJER
20,ECUADOR,,,,,,,32,HOMBRE
21,ECUADOR,,,,,,,16,HOMBRE
22,ECUADOR,,,,,,,17,HOMBRE
23,ECUADOR,,,,,,,32,HOMBRE
24,ECUADOR,,,,,,,25,HOMBRE
25,ECUADOR,,,,,,,41,HOMBRE
26,ECUADOR,,,,,,,23,HOMBRE
27,ECUADOR,,,,,,,53,HOMBRE
28,ECUADOR,,,,,,,24,HOMBRE
29,ECUADOR,,,,,,,44,HOMBRE
30,ECUADOR,,,,,,,27,HOMBRE
31,ECUADOR,,,,,,,28,HOMBRE
32,ECUADOR,,,,,,,46,HOMBRE
33,ECUADOR,,,,,,,35,HOMBRE
34,ECUADOR,,,,,,,30,HOMBRE
35,ECUADOR,,,,,,,47,HOMBRE
36,ECUADOR,,,,,,,33,HOMBRE
37,ECUADOR,,,,,,,31,HOMBRE
38,ECUADOR,,,,,,,32,HOMBRE
39,ECUADOR,,,,,,,38,HOMBRE
40,ECUADOR,,,,,,,33,HOMBRE
41,ECUADOR,,,,,,,33,HOMBRE
42,ECUADOR,,,,,,,22,HOMBRE
43,ECUADOR,,,,,,,26,HOMBRE
44,ECUADOR,,,,,,,28,HOMBRE
45,ECUADOR,,,,,,,20,HOMBRE
46,ECUADOR,,,,,,,33,HOMBRE
47,ECUADOR,,,,,,,36,HOMBRE
48,ECUADOR,,,,,,,32,HOMBRE
49,ECUADOR,,,,,,,21,HOMBRE
50,ECUADOR,,,,,,,25,HOMBRE
51,ECUADOR,,,,,,,24,HOMBRE
52,ECUADOR,,,,,,,41,HOMBRE
53,ECUADOR,,,,,,,29,MUJER
54,ECUADOR,,,,,,,40,HOMBRE
55,ECUADOR,,,,,,,27,HOMBRE
56,ECUADOR,,,,,,,26,HOMBRE
57,ECUADOR,,,,,,,25,HOMBRE
58,ECUADOR,,,,,,,29,HOMBRE
59,ECUADOR,,,,,,,20,HOMBRE
60,ECUADOR,,,,,,,39,HOMBRE
61,ECUADOR,,,,,,,20,HOMBRE
62,ECUADOR,,,,,,,25,HOMBRE
63,ECUADOR,,,,,,,25,HOMBRE
64,ECUADOR,,,,,,,38,HOMBRE
65,ECUADOR,,,,,,,43,HOMBRE
66,ECUADOR,,,,,,,31,HOMBRE
67,ECUADOR,,,,,,,22,HOMBRE
68,ECUADOR,,,,,,,34,HOMBRE
69,ECUADOR,,,,,,,37,HOMBRE
70,ECUADOR,,,,,,,24,HOMBRE
71,ECUADOR,,,,,,,21,HOMBRE
72,ECUADOR,,,,,,,40,HOMBRE
73,ECUADOR,,,,,,,29,HOMBRE
74,ECUADOR,,,,,,,26,HOMBRE
75,ECUADOR,,,,,,,18,HOMBRE
76,ECUADOR,,,,,,,24,HOMBRE
77,ECUADOR,,,,,,,42,HOMBRE
78,ECUADOR,,,,,,,18,HOMBRE
79,ECUADOR,,,,,,,31,HOMBRE
80,ECUADOR,,,,,,,19,HOMBRE
81,ECUADOR,,,,,,,30,HOMBRE
82,ECUADOR,,,,,,,62,HOMBRE
83,ECUADOR,,,,,,,45,HOMBRE
84,ECUADOR,,,,,,,22,HOMBRE
85,ECUADOR,,,,,,,35,HOMBRE
86,COLOMBIA,,,,,,,,HOMBRE
87,ECUADOR,,,,,,,53,HOMBRE
88,ECUADOR,,,,,,,45,HOMBRE
89,ECUADOR,,,,,,,33,HOMBRE
90,VENEZUELA,,,,,,,,HOMBRE
91,VENEZUELA,,,,,,,,HOMBRE
92,VENEZUELA,,,,,,,,HOMBRE
93,VENEZUELA,,,,,,,,HOMBRE
94,VENEZUELA,,,,,,,,HOMBRE
95,ECUADOR,,,,,,,29,HOMBRE
96,ECUADOR,,,,,,,35,HOMBRE
97,ECUADOR,,,,,,,34,HOMBRE
98,ECUADOR,,,,,,,34,HOMBRE
99,ECUADOR,,,,,,,34,HOMBRE
100,ECUADOR,,,,,,,24,HOMBRE
101,ECUADOR,,,,,,,19,HOMBRE
102,ECUADOR,,,,,,,34,HOMBRE
103,ECUADOR,,,,,,,23,HOMBRE
104,ECUADOR,,,,,,,44,HOMBRE
105,ECUADOR,,,,,,,32,HOMBRE
106,ECUADOR,,,,,,,30,HOMBRE
107,ECUADOR,,,,,,,50,HOMBRE
108,ECUADOR,,,,,,,17,HOMBRE
109,ECUADOR,,,,,,,27,HOMBRE
110,ECUADOR,,,,,,,56,HOMBRE
111,ECUADOR,,,,,,,31,HOMBRE
112,ECUADOR,,,,,,,22,HOMBRE
113,ECUADOR,,,,,,,28,HOMBRE
114,ECUADOR,,,,,,,29,HOMBRE
115,ECUADOR,,,,,,,28,HOMBRE
116,ECUADOR,,,,,,,49,HOMBRE
117,ECUADOR,,,,,,,24,HOMBRE
118,COLOMBIA,,,,,,,,HOMBRE
119,COLOMBIA,,,,,,,,MUJER
120,ECUADOR,,,,,,,24,HOMBRE
121,ECUADOR,,,,,,,33,HOMBRE
122,ECUADOR,,,,,,,44,HOMBRE
123,ECUADOR,,,,,,,28,HOMBRE
124,ECUADOR,,,,,,,21,HOMBRE
125,ECUADOR,,,,,,,21,HOMBRE
126,ECUADOR,,,,,,,26,HOMBRE
127,ECUADOR,,,,,,,39,HOMBRE
128,ECUADOR,,,,,,,49,MUJER
129,ECUADOR,,,,,,,21,HOMBRE
130,ECUADOR,,,,,,,16,MUJER
131,ECUADOR,,,,,,,36,HOMBRE
132,ECUADOR,,,,,,,30,HOMBRE
133,ECUADOR,,,,,,,35,HOMBRE
134,ECUADOR,,,,,,,68,HOMBRE
135,ECUADOR,,,,,,,24,HOMBRE
136,ECUADOR,,,,,,,26,HOMBRE
137,ECUADOR,,,,,,,19,HOMBRE
138,ECUADOR,,,,,,,47,HOMBRE
139,ECUADOR,,,,,,,32,HOMBRE
140,ECUADOR,,,,,,,25,HOMBRE
141,ECUADOR,,,,,,,40,HOMBRE
142,ECUADOR,,,,,,,21,HOMBRE
143,ECUADOR,,,,,,,18,HOMBRE
144,ECUADOR,,,,,,,34,MUJER
145,ECUADOR,,,,,,,32,HOMBRE
146,ECUADOR,,,,,,,18,HOMBRE
147,ECUADOR,,,,,,,25,HOMBRE
148,ECUADOR,,,,,,,32,HOMBRE
149,ECUADOR,,,,,,,28,HOMBRE
150,ECUADOR,,,,,,,34,HOMBRE
151,ECUADOR,,,,,,,36,HOMBRE
152,ECUADOR,,,,,,,29,HOMBRE
153,ECUADOR,,,,,,,25,MUJER
154,ECUADOR,,,,,,,40,HOMBRE
155,ECUADOR,,,,,,,31,HOMBRE
156,ECUADOR,,,,,,,25,HOMBRE
157,ECUADOR,,,,,,,37,HOMBRE
158,ECUADOR,,,,,,,39,HOMBRE
159,ECUADOR,,,,,,,32,HOMBRE
160,ECUADOR,,,,,,,34,MUJER
161,ECUADOR,,,,,,,28,HOMBRE
162,ECUADOR,,,,,,,23,MUJER
